YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2017,2017,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,36.7,36.7,,,36,37.4,"88,159",,55 - 64,,,,,,FV,FV1,Q018,VALUE,59,Age (years),55 - 64,AGEYR,AGEYR5564
2017,2017,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,31.6,31.6,,,31,32.1,"142,412",,65 or older,,,,,,FV,FV1,Q018,VALUE,59,Age (years),65 or older,AGEYR,AGEYR65PLUS
2017,2017,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,36,36,,,35.7,36.4,"405,047",Total,,,,,,,FV,FV1,Q018,VALUE,59,Total,Total,OVR,OVERALL
2017,2017,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,39.3,39.3,,,38.8,39.8,"178,389",,,,Male,,,,FV,FV1,Q018,VALUE,59,Gender,Male,GEN,MALE
2017,2017,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,32.9,32.9,,,32.5,33.4,"226,435",,,,Female,,,,FV,FV1,Q018,VALUE,59,Gender,Female,GEN,FEMALE
2017,2017,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,40.5,40.5,,,39.4,41.7,"27,119",,,Less than high school,,,,,FV,FV1,Q018,VALUE,59,Education,Less than high school,EDU,EDUHS
2017,2017,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,40.9,40.9,,,40.3,41.6,"107,789",,,High school graduate,,,,,FV,FV1,Q018,VALUE,59,Education,High school graduate,EDU,EDUHSGRAD
2017,2017,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,36.7,36.7,,,36.1,37.3,"113,145",,,Some college or technical school,,,,,FV,FV1,Q018,VALUE,59,Education,Some college or technical school,EDU,EDUCOTEC
2017,2017,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,28.6,28.6,,,28.1,29,"155,856",,,College graduate,,,,,FV,FV1,Q018,VALUE,59,Education,College graduate,EDU,EDUCOGRAD
2017,2017,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,40.1,40.1,,,39,41.3,"23,123",,18 - 24,,,,,,FV,FV1,Q018,VALUE,59,Age (years),18 - 24,AGEYR,AGEYR1824
2017,2017,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,36.9,36.9,,,36.1,37.8,"41,809",,25 - 34,,,,,,FV,FV1,Q018,VALUE,59,Age (years),25 - 34,AGEYR,AGEYR2534
2017,2017,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,35,35,,,34.2,35.9,"46,648",,35 - 44,,,,,,FV,FV1,Q018,VALUE,59,Age (years),35 - 44,AGEYR,AGEYR3544
2017,2017,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,37.8,37.8,,,37.1,38.6,"62,896",,45 - 54,,,,,,FV,FV1,Q018,VALUE,59,Age (years),45 - 54,AGEYR,AGEYR4554
2017,2017,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,43.7,43.7,,,42.5,45,"32,322",,,,,"Less than $15,000",,,FV,FV1,Q018,VALUE,59,Income,"Less than $15,000",INC,INCLESS15
2017,2017,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,39,39,,,38.1,39.9,"55,264",,,,,"$15,000 - $24,999",,,FV,FV1,Q018,VALUE,59,Income,"$15,000 - $24,999",INC,INC1525
2017,2017,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,37.9,37.9,,,36.8,39,"36,267",,,,,"$25,000 - $34,999",,,FV,FV1,Q018,VALUE,59,Income,"$25,000 - $34,999",INC,INC2535
2017,2017,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,37.4,37.4,,,36.4,38.3,"49,341",,,,,"$35,000 - $49,999",,,FV,FV1,Q018,VALUE,59,Income,"$35,000 - $49,999",INC,INC3550
2017,2017,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,35.4,35.4,,,34.6,36.3,"56,161",,,,,"$50,000 - $74,999",,,FV,FV1,Q018,VALUE,59,Income,"$50,000 - $74,999",INC,INC5075
2017,2017,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,31.5,31.5,,,30.9,32.1,"116,429",,,,,"$75,000 or greater",,,FV,FV1,Q018,VALUE,59,Income,"$75,000 or greater",INC,INC75PLUS
2017,2017,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,36.2,36.2,,,35.3,37,"59,263",,,,,Data not reported,,,FV,FV1,Q018,VALUE,59,Income,Data not reported,INC,INCNR
2017,2017,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,36.1,36.1,,,35.8,36.5,"311,177",,,,,,Non-Hispanic White,,FV,FV1,Q018,VALUE,59,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2017,2017,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,39.7,39.7,,,38.6,40.7,"31,517",,,,,,Non-Hispanic Black,,FV,FV1,Q018,VALUE,59,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2017,2017,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,34.3,34.3,,,33.2,35.4,"28,485",,,,,,Hispanic,,FV,FV1,Q018,VALUE,59,Race/Ethnicity,Hispanic,RACE,RACEHIS
2017,2017,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,32.8,32.8,,,30.7,35,"8,432",,,,,,Asian,,FV,FV1,Q018,VALUE,59,Race/Ethnicity,Asian,RACE,RACEASN
2017,2017,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,33.4,33.4,,,27.7,39.6,874,,,,,,Hawaiian/Pacific Islander,,FV,FV1,Q018,VALUE,59,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2017,2017,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,40.6,40.6,,,38,43.2,"7,385",,,,,,American Indian/Alaska Native,,FV,FV1,Q018,VALUE,59,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2017,2017,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,38.2,38.2,,,36.1,40.4,"8,251",,,,,,2 or more races,,FV,FV1,Q018,VALUE,59,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2017,2017,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,31.2,31.2,,,27,35.7,"1,967",,,,,,Other,,FV,FV1,Q018,VALUE,59,Race/Ethnicity,Other,RACE,RACEOTH
